frame,timestamp,face_detection_confidence_score,pitch_indicative_ratio,yaw_indicative_ratio,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
1,0.000,0.98,0.71,0.57,0.01,-0.01,0.06,0.00,-0.02,0.04,-0.09,0.02,0.18,-0.07,-0.01,-0.04
2,0.033,0.98,0.70,0.57,0.01,0.01,0.06,0.00,-0.02,0.06,-0.08,0.01,0.17,-0.05,0.01,-0.04
3,0.067,0.98,0.71,0.57,0.01,0.01,0.08,0.00,-0.02,0.05,-0.08,0.01,0.18,-0.05,0.01,-0.04
4,0.100,0.98,0.71,0.57,0.00,-0.00,0.07,-0.00,-0.02,0.06,-0.08,0.01,0.19,-0.05,-0.00,-0.05
5,0.133,0.98,0.71,0.57,0.00,-0.01,0.07,-0.00,-0.02,0.05,-0.08,0.01,0.18,-0.06,-0.00,-0.06
6,0.167,0.98,0.71,0.57,0.00,-0.00,0.08,-0.00,-0.01,0.05,-0.08,0.01,0.17,-0.06,0.02,-0.04
7,0.200,0.98,0.70,0.57,0.01,-0.01,0.09,-0.00,-0.01,0.06,-0.07,0.01,0.17,-0.06,0.02,-0.04
8,0.233,0.98,0.72,0.57,0.02,0.01,0.09,0.00,-0.02,0.07,-0.07,-0.00,0.17,-0.06,0.03,-0.02
9,0.267,0.98,0.67,0.57,0.01,-0.00,0.10,0.00,-0.03,0.05,-0.11,-0.03,0.17,-0.06,-0.02,-0.03
10,0.300,0.97,0.66,0.57,0.01,-0.00,0.12,-0.01,-0.01,0.06,-0.10,-0.01,0.14,-0.05,-0.01,-0.03
11,0.333,0.97,0.69,0.56,0.03,0.01,0.13,-0.02,-0.01,0.08,-0.07,-0.01,0.14,-0.04,0.01,-0.03
12,0.367,0.97,0.71,0.56,0.09,0.13,0.05,0.01,-0.02,0.07,-0.08,0.00,0.16,-0.05,0.03,-0.02
13,0.400,0.97,0.72,0.56,0.11,0.16,0.05,0.02,-0.02,0.07,-0.08,0.00,0.17,-0.05,0.05,-0.02
14,0.433,0.97,0.72,0.55,0.12,0.23,0.03,0.02,-0.03,0.07,-0.10,0.02,0.16,-0.05,0.04,-0.01
15,0.467,0.97,0.71,0.55,0.10,0.20,0.03,0.02,-0.01,0.07,-0.10,0.01,0.12,-0.05,0.05,-0.02
16,0.500,0.97,0.73,0.55,0.12,0.26,0.02,0.02,-0.02,0.06,-0.11,0.02,0.14,-0.07,0.05,-0.02
